USR_RES_ST_ID,USER_SURVEY_DEF_ID,PUM_ID,QUESTION_ID,OPTION_ID,FIELD_VALUE,COMMENT,QUESTION_TEXT,OPT_TEXT,OPT_VALUE,SURVEY_DEF_ID
16803,1555,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,203
16804,1555,,307,75,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Completely disagree,1,203
16805,1555,,308,75,,,<p>Our team members deal conflict management constructively</p>,Completely disagree,1,203
16806,1555,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,203
16807,1555,,310,75,,,<p>Communication between our team members are open and clear</p>,Completely disagree,1,203
16808,1555,,311,75,,,<p>There is excellent teamwork in the team</p>,Completely disagree,1,203
16809,1555,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,203
16810,1555,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,203
16811,1555,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,203
16792,1556,,306,78,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely agree,4,204
16793,1556,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,204
16794,1556,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,204
16795,1556,,309,78,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Completely agree,4,204
16796,1556,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,204
16797,1556,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,204
16798,1556,,312,78,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Completely agree,4,204
16799,1556,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,204
16800,1556,,314,78,,,<p>Team members are strongly committed to a shared purpose</p>,Completely agree,4,204
16928,1558,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,206
16929,1558,,307,78,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Completely agree,4,206
16930,1558,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,206
16931,1558,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,206
16932,1558,,310,76,,,<p>Communication between our team members are open and clear</p>,Somewhat disagree,2,206
16933,1558,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,206
16934,1558,,312,76,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat disagree,2,206
16935,1558,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,206
16936,1558,,314,76,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat disagree,2,206
16814,1559,,306,76,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat disagree,2,207
16815,1559,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,207
16816,1559,,308,76,,,<p>Our team members deal conflict management constructively</p>,Somewhat disagree,2,207
16817,1559,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,207
16818,1559,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,207
16819,1559,,311,76,,,<p>There is excellent teamwork in the team</p>,Somewhat disagree,2,207
16820,1559,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,207
16821,1559,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,207
16822,1559,,314,76,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat disagree,2,207
16961,1560,,306,78,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely agree,4,208
16962,1560,,307,78,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Completely agree,4,208
16963,1560,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,208
16964,1560,,309,78,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Completely agree,4,208
16965,1560,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,208
16966,1560,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,208
16967,1560,,312,78,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Completely agree,4,208
16968,1560,,313,78,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Completely agree,4,208
16969,1560,,314,78,,,<p>Team members are strongly committed to a shared purpose</p>,Completely agree,4,208
16848,1561,,306,76,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat disagree,2,209
16849,1561,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,209
16850,1561,,308,76,,,<p>Our team members deal conflict management constructively</p>,Somewhat disagree,2,209
16851,1561,,309,75,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Completely disagree,1,209
16852,1561,,310,75,,,<p>Communication between our team members are open and clear</p>,Completely disagree,1,209
16853,1561,,311,75,,,<p>There is excellent teamwork in the team</p>,Completely disagree,1,209
16854,1561,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,209
16855,1561,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,209
16856,1561,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,209
16870,1562,,306,76,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat disagree,2,210
16871,1562,,307,76,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat disagree,2,210
16872,1562,,308,76,,,<p>Our team members deal conflict management constructively</p>,Somewhat disagree,2,210
16873,1562,,309,77,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat  agree,3,210
16874,1562,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,210
16875,1562,,311,75,,,<p>There is excellent teamwork in the team</p>,Completely disagree,1,210
16876,1562,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,210
16877,1562,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,210
16878,1562,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,210
16892,1564,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,212
16893,1564,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,212
16894,1564,,308,76,,,<p>Our team members deal conflict management constructively</p>,Somewhat disagree,2,212
16895,1564,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,212
16896,1564,,310,76,,,<p>Communication between our team members are open and clear</p>,Somewhat disagree,2,212
16897,1564,,311,76,,,<p>There is excellent teamwork in the team</p>,Somewhat disagree,2,212
16898,1564,,312,78,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Completely agree,4,212
16899,1564,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,212
16900,1564,,314,78,,,<p>Team members are strongly committed to a shared purpose</p>,Completely agree,4,212
16881,1565,,306,78,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely agree,4,213
16882,1565,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,213
16883,1565,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,213
16884,1565,,309,77,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat  agree,3,213
16885,1565,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,213
16886,1565,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,213
16887,1565,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,213
16888,1565,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,213
16889,1565,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,213
16825,1566,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,214
16826,1566,,307,76,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat disagree,2,214
16827,1566,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,214
16828,1566,,309,77,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat  agree,3,214
16829,1566,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,214
16830,1566,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,214
16831,1566,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,214
16832,1566,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,214
16833,1566,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,214
16859,1567,,306,78,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely agree,4,215
16860,1567,,307,78,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Completely agree,4,215
16861,1567,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,215
16862,1567,,309,77,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat  agree,3,215
16863,1567,,310,78,,,<p>Communication between our team members are open and clear</p>,Completely agree,4,215
16864,1567,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,215
16865,1567,,312,78,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Completely agree,4,215
16866,1567,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,215
16867,1567,,314,78,,,<p>Team members are strongly committed to a shared purpose</p>,Completely agree,4,215
16903,1568,,306,78,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely agree,4,216
16904,1568,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,216
16905,1568,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,216
16906,1568,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,216
16907,1568,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,216
16908,1568,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,216
16909,1568,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,216
16910,1568,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,216
16911,1568,,314,76,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat disagree,2,216
16939,1569,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,217
16940,1569,,307,78,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Completely agree,4,217
16941,1569,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,217
16942,1569,,309,78,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Completely agree,4,217
16943,1569,,310,78,,,<p>Communication between our team members are open and clear</p>,Completely agree,4,217
16944,1569,,311,78,,,<p>There is excellent teamwork in the team</p>,Completely agree,4,217
16945,1569,,312,78,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Completely agree,4,217
16946,1569,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,217
16947,1569,,314,78,,,<p>Team members are strongly committed to a shared purpose</p>,Completely agree,4,217
16950,1570,,306,77,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Somewhat  agree,3,218
16951,1570,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,218
16952,1570,,308,77,,,<p>Our team members deal conflict management constructively</p>,Somewhat  agree,3,218
16953,1570,,309,77,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat  agree,3,218
16954,1570,,310,77,,,<p>Communication between our team members are open and clear</p>,Somewhat  agree,3,218
16955,1570,,311,77,,,<p>There is excellent teamwork in the team</p>,Somewhat  agree,3,218
16956,1570,,312,77,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat  agree,3,218
16957,1570,,313,77,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat  agree,3,218
16958,1570,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,218
16972,1572,,306,75,,,<p>Our team members have adequate knowledge on what other team members are doing</p>,Completely disagree,1,220
16973,1572,,307,77,,,<p>In the face of difficulty our team members reach out to each other for help</p>,Somewhat  agree,3,220
16974,1572,,308,76,,,<p>Our team members deal conflict management constructively</p>,Somewhat disagree,2,220
16975,1572,,309,76,,,<p>Our team members share their expertise and experience to enhance team productivity</p>,Somewhat disagree,2,220
16976,1572,,310,75,,,<p>Communication between our team members are open and clear</p>,Completely disagree,1,220
16977,1572,,311,75,,,<p>There is excellent teamwork in the team</p>,Completely disagree,1,220
16978,1572,,312,76,,,<p>HR team at Royal Enfield has a meaningful and shared purpose</p>,Somewhat disagree,2,220
16979,1572,,313,76,,,<p>When conflict arises team members discuss it together and resolve it collaboratively</p>,Somewhat disagree,2,220
16980,1572,,314,77,,,<p>Team members are strongly committed to a shared purpose</p>,Somewhat  agree,3,220
